jobs=68 runnable=52 blocked=16 parallelism=4
DONE artificial-corr-12-shuffled__milvus-gpu-ivfpq status=complete rc=0
START artificial-corr-12-shuffled__milvus-gpu-cagra slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__milvus-gpu-cagra status=complete rc=0
START artificial-corr-12-shuffled__qdrant slot=2 cpuset=56-83
DONE artificial-corr-12-original__digra status=failed rc=127
START artificial-corr-12-shuffled__redis-hnsw slot=1 cpuset=28-55
DONE artificial-corr-12-original__hnswlib-hnsw status=failed rc=2
START artificial-corr-12-shuffled__elasticsearch-hnsw slot=0 cpuset=0-27
DONE artificial-corr-12-shuffled__qdrant status=failed rc=2
START cc_news-original__rangepq slot=2 cpuset=56-83
DONE cc_news-original__rangepq status=failed rc=139
START cc_news-original__digra slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__redis-hnsw status=complete rc=0
START cc_news-original__acorn slot=1 cpuset=28-55
DONE cc_news-original__acorn status=complete rc=0
START cc_news-original__irangegraph slot=1 cpuset=28-55
DONE artificial-corr-12-shuffled__digra status=failed rc=127
START cc_news-original__hnswlib-hnsw slot=3 cpuset=84-111
DONE cc_news-original__hnswlib-hnsw status=failed rc=1
START cc_news-original__faiss-hnsw slot=3 cpuset=84-111
DONE artificial-corr-12-shuffled__elasticsearch-hnsw status=complete rc=0
START cc_news-original__milvus-hnsw slot=0 cpuset=0-27
DONE cc_news-original__irangegraph status=complete rc=0
START cc_news-original__qdrant slot=1 cpuset=28-55
DONE cc_news-original__milvus-hnsw status=complete rc=0
START cc_news-original__milvus-ivfpq slot=0 cpuset=0-27
DONE cc_news-original__qdrant status=failed rc=1
START cc_news-original__redis-hnsw slot=1 cpuset=28-55
DONE cc_news-original__redis-hnsw status=failed rc=1
START cc_news-original__elasticsearch-hnsw slot=1 cpuset=28-55
DONE cc_news-original__elasticsearch-hnsw status=failed rc=1
START cc_news-shuffled__rangepq slot=1 cpuset=28-55
DONE cc_news-shuffled__rangepq status=failed rc=139
START cc_news-shuffled__digra slot=1 cpuset=28-55
DONE cc_news-original__milvus-ivfpq status=complete rc=0
START cc_news-original__milvus-gpu-ivfpq slot=0 cpuset=0-27
DONE cc_news-original__milvus-gpu-ivfpq status=failed rc=1
START cc_news-original__milvus-gpu-cagra slot=0 cpuset=0-27
DONE cc_news-original__milvus-gpu-cagra status=failed rc=1
START cc_news-shuffled__acorn slot=0 cpuset=0-27
DONE cc_news-shuffled__acorn status=complete rc=0
START cc_news-shuffled__irangegraph slot=0 cpuset=0-27
DONE cc_news-shuffled__irangegraph status=complete rc=0
START cc_news-shuffled__hnswlib-hnsw slot=0 cpuset=0-27
DONE cc_news-shuffled__hnswlib-hnsw status=failed rc=1
START cc_news-shuffled__faiss-hnsw slot=0 cpuset=0-27
DONE cc_news-original__digra status=complete rc=0
START cc_news-shuffled__milvus-hnsw slot=2 cpuset=56-83
DONE cc_news-shuffled__milvus-hnsw status=complete rc=0
START cc_news-shuffled__milvus-ivfpq slot=2 cpuset=56-83
DONE cc_news-shuffled__milvus-ivfpq status=complete rc=0
START cc_news-shuffled__milvus-gpu-ivfpq slot=2 cpuset=56-83
DONE cc_news-shuffled__milvus-gpu-ivfpq status=complete rc=0
START cc_news-shuffled__milvus-gpu-cagra slot=2 cpuset=56-83
DONE cc_news-shuffled__milvus-gpu-cagra status=complete rc=0
START cc_news-shuffled__qdrant slot=2 cpuset=56-83
DONE cc_news-original__faiss-hnsw status=complete rc=0
START cc_news-shuffled__redis-hnsw slot=3 cpuset=84-111
DONE cc_news-shuffled__digra status=complete rc=0
START cc_news-shuffled__elasticsearch-hnsw slot=1 cpuset=28-55
DONE cc_news-shuffled__redis-hnsw status=complete rc=0
DONE cc_news-shuffled__elasticsearch-hnsw status=complete rc=0
DONE cc_news-shuffled__faiss-hnsw status=complete rc=0
DONE cc_news-shuffled__qdrant status=complete rc=0
