dataset,algorithm,result_file,n,qps_mean,qps_sd,cv,dataset_label
artificial-corr-12-shuffled,hnswlib-hnsw,<remote_artifact>,5,74.93166807245599,3.51253378990761,0.046876492680119265,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-gpu-cagra,<remote_artifact>,5,182.22908012933186,1.5071172331436078,0.008270454046489038,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-gpu-cagra,<remote_artifact>,5,157.5754437748231,66.16978941433283,0.41992449984078817,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-gpu-cagra,<remote_artifact>,5,181.49260718312786,1.905721929309899,0.010500273035292322,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-gpu-ivfpq,<remote_artifact>,5,192.25573572380418,0.9274556763255927,0.004824072857092708,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-gpu-ivfpq,<remote_artifact>,5,186.71551846460835,1.3365543091112166,0.007158239015706445,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-gpu-ivfpq,<remote_artifact>,5,197.78912526679255,4.580153333374779,0.023156750034647913,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-hnsw,<remote_artifact>,5,112.23317473862542,8.426587606759355,0.07508107675278401,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-hnsw,<remote_artifact>,5,76.95199626821558,1.4374280245122157,0.01867954171717744,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-hnsw,<remote_artifact>,5,54.044359224867755,0.42419332740971133,0.0078489843064792,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,milvus-ivfpq,<remote_artifact>,3,248.00078790762123,6.775076948112631,0.027318771868726104,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,pgvector-hnsw,<remote_artifact>,3,12.534968476910814,0.42474946020365406,0.033885163810825285,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,qdrant,<remote_artifact>,3,4.73407105705661,0.012598645581693425,0.002661270908241623,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,redis-hnsw,<remote_artifact>,3,3.8844152228759103,0.03200418701790429,0.008239126144246059,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,vearch-hnsw,<remote_artifact>,3,11.594067686449874,0.00749285558704083,0.0006462663311684664,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,vearch-ivfpq,<remote_artifact>,3,12.461505252122786,0.024068281289698526,0.0019314104357977585,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,weaviate-hnsw,<remote_artifact>,5,1.2798983888829045,0.008170388519365999,0.0063836227862565835,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,weaviate-hnsw,<remote_artifact>,5,1.2651588369054128,0.0003724772633277878,0.00029441146238907815,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,weaviate-hnsw,<remote_artifact>,5,1.226455648611152,0.007232695498378901,0.005897233631374491,"C2
Artificial
shuffled"
cc_news-original,elasticsearch-hnsw,<remote_artifact>,3,36.59851430997923,0.17870900854788732,0.004882958008466457,"C3
CC-News
original"
cc_news-original,faiss-hnsw,<remote_artifact>,5,8.213082123878165,0.05640144795700732,0.0068672694496782795,"C3
CC-News
original"
cc_news-original,faiss-hnsw,<remote_artifact>,5,8.343231585652706,0.019903065925696687,0.002385534396518808,"C3
CC-News
original"
cc_news-original,faiss-hnsw,<remote_artifact>,5,7.479633987959136,0.025310869260015564,0.0033839716356123184,"C3
CC-News
original"
cc_news-original,faiss-ivfpq,<remote_artifact>,3,4.961854942338736,0.0652023793659586,0.01314072662818029,"C3
CC-News
original"
cc_news-original,hnswlib-hnsw,<remote_artifact>,5,3.31912584109307,0.01861862594908488,0.005609496849614267,"C3
CC-News
original"
cc_news-original,hnswlib-hnsw,<remote_artifact>,5,3.314759277265528,0.015963463296317655,0.004815874083467843,"C3
CC-News
original"
cc_news-original,hnswlib-hnsw,<remote_artifact>,5,3.3177293227079,0.040141600505438704,0.012099118584115085,"C3
CC-News
original"
cc_news-original,milvus-gpu-cagra,<remote_artifact>,5,231.47803024509494,1.1610382193623856,0.005015759889321022,"C3
CC-News
original"
cc_news-original,milvus-gpu-cagra,<remote_artifact>,5,199.7181470006072,78.80047708524226,0.39455842280072173,"C3
CC-News
original"
cc_news-original,milvus-gpu-cagra,<remote_artifact>,5,231.00629799598747,0.7856574513382429,0.0034010217823233963,"C3
CC-News
original"
cc_news-original,milvus-gpu-ivfpq,<remote_artifact>,5,211.39401535497828,0.5105747204366469,0.002415275189220833,"C3
CC-News
original"
cc_news-original,milvus-gpu-ivfpq,<remote_artifact>,5,208.32842335913023,2.9329015610202163,0.014078259287568685,"C3
CC-News
original"
cc_news-original,milvus-gpu-ivfpq,<remote_artifact>,5,222.12475725986846,7.337837927616975,0.03303475946642131,"C3
CC-News
original"
cc_news-original,milvus-hnsw,<remote_artifact>,5,132.85459811023463,14.60574949188482,0.10993785461430444,"C3
CC-News
original"
cc_news-original,milvus-hnsw,<remote_artifact>,5,114.9816783545585,0.9738453585431667,0.008469569869559641,"C3
CC-News
original"
cc_news-original,milvus-hnsw,<remote_artifact>,5,108.21646122137341,2.3787167789386308,0.021981099290177303,"C3
CC-News
original"
cc_news-original,milvus-ivfpq,<remote_artifact>,3,227.37724391678486,14.832987231317562,0.06523514392120133,"C3
CC-News
original"
cc_news-original,pgvector-hnsw,<remote_artifact>,3,8.56357321784717,0.5884981856877046,0.06872110166130506,"C3
CC-News
original"
cc_news-original,qdrant,<remote_artifact>,3,9.623946132932941,0.05128526200132609,0.005328922387234588,"C3
CC-News
original"
cc_news-original,redis-hnsw,<remote_artifact>,3,70.74714532032212,0.4239001481623113,0.005991763289430506,"C3
CC-News
original"
cc_news-original,vearch-hnsw,<remote_artifact>,3,38.92048724559658,0.09049052289599528,0.002325010021713777,"C3
CC-News
original"
cc_news-original,vearch-ivfpq,<remote_artifact>,3,39.31880471048985,0.056394720933754146,0.0014342938792009773,"C3
CC-News
original"
cc_news-original,weaviate-hnsw,<remote_artifact>,5,4.718928337841246,0.0009857956012888688,0.00020890243095741476,"C3
CC-News
original"
cc_news-original,weaviate-hnsw,<remote_artifact>,5,4.67966863405456,0.0008636066813573955,0.00018454440877989025,"C3
CC-News
original"
cc_news-original,weaviate-hnsw,<remote_artifact>,5,4.615592888816224,0.0008231923185568427,0.00017835028746826273,"C3
CC-News
original"
cc_news-shuffled,elasticsearch-hnsw,<remote_artifact>,3,45.40924068454282,0.27392273799549216,0.006032312671740725,"C4
CC-News
shuffled"
cc_news-shuffled,faiss-hnsw,<remote_artifact>,5,9.403984625784691,0.08220234382723846,0.008741224821002862,"C4
CC-News
shuffled"
cc_news-shuffled,faiss-hnsw,<remote_artifact>,5,9.884109962096451,0.05692519890830098,0.005759264023427251,"C4
CC-News
shuffled"
cc_news-shuffled,faiss-hnsw,<remote_artifact>,5,8.962098990941893,0.04568859942635327,0.005097979778234018,"C4
CC-News
shuffled"
cc_news-shuffled,faiss-ivfpq,<remote_artifact>,3,3.9754788697407655,0.008236594535406011,0.002071849657684913,"C4
CC-News
shuffled"
cc_news-shuffled,hnswlib-hnsw,<remote_artifact>,5,2.567734766661095,0.056833096465957494,0.022133554136457533,"C4
CC-News
shuffled"
cc_news-shuffled,hnswlib-hnsw,<remote_artifact>,5,2.5822356742219266,0.25909474708141517,0.1003373741862214,"C4
CC-News
shuffled"
cc_news-shuffled,hnswlib-hnsw,<remote_artifact>,5,2.4905002662158973,0.04705634843245709,0.018894335837175074,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-gpu-cagra,<remote_artifact>,5,186.6980854593226,49.061452003989395,0.2627849765212445,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-gpu-cagra,<remote_artifact>,5,158.4444484221984,73.69287584404792,0.4651022902846206,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-gpu-cagra,<remote_artifact>,5,198.97637781405572,45.98490629916147,0.2311073646246318,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-gpu-ivfpq,<remote_artifact>,5,164.28848986491386,36.20635868957856,0.22038280782390307,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-gpu-ivfpq,<remote_artifact>,5,159.88405130914526,32.64273062842733,0.2041650205955232,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-gpu-ivfpq,<remote_artifact>,5,171.1692769751803,40.470011420015226,0.23643268310284102,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-hnsw,<remote_artifact>,5,105.90222437327398,27.371945931889112,0.25846431549361143,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-hnsw,<remote_artifact>,5,74.52158556919969,6.925682971245612,0.09293526054695282,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-hnsw,<remote_artifact>,5,68.83884987264227,10.223661839001934,0.14851587232960137,"C4
CC-News
shuffled"
cc_news-shuffled,milvus-ivfpq,<remote_artifact>,3,244.6965448501753,6.252711587620472,0.02555292144173483,"C4
CC-News
shuffled"
cc_news-shuffled,pgvector-hnsw,<remote_artifact>,3,10.831456165687031,0.05080797908790042,0.004690780104789143,"C4
CC-News
shuffled"
cc_news-shuffled,qdrant,<remote_artifact>,3,7.234007486919903,0.23108321054637246,0.031944010420808,"C4
CC-News
shuffled"
cc_news-shuffled,redis-hnsw,<remote_artifact>,3,4.334191150804997,0.06996140250218029,0.016141743653642557,"C4
CC-News
shuffled"
cc_news-shuffled,vearch-hnsw,<remote_artifact>,3,29.057852469579206,1.136507947562866,0.0391119043897921,"C4
CC-News
shuffled"
cc_news-shuffled,vearch-ivfpq,<remote_artifact>,3,29.91575699743461,0.799293798668491,0.02671815387245703,"C4
CC-News
shuffled"
cc_news-shuffled,weaviate-hnsw,<remote_artifact>,5,3.9253850498419824,0.0007919653224205882,0.0002017548119139214,"C4
CC-News
shuffled"
cc_news-shuffled,weaviate-hnsw,<remote_artifact>,5,3.8985009099990906,0.0008092209502327323,0.00020757233842300706,"C4
CC-News
shuffled"
cc_news-shuffled,weaviate-hnsw,<remote_artifact>,5,3.850321391863544,0.001230023533305821,0.000319459964018872,"C4
CC-News
shuffled"
