dataset_base,algorithm,recall_threshold,original_qps,shuffled_qps,original_over_shuffled_qps,percent_change_original_vs_shuffled,original_selected_recall,shuffled_selected_recall
cc_news,milvus-hnsw,0.8,175.74576172701342,188.87205235773382,0.9305016784280054,-6.949832157199465,0.9865223057644111,0.9981182957393485
cc_news,milvus-hnsw,0.9,175.74576172701342,188.87205235773382,0.9305016784280054,-6.949832157199465,0.9865223057644111,0.9981182957393485
cc_news,milvus-hnsw,0.95,175.74576172701342,188.87205235773382,0.9305016784280054,-6.949832157199465,0.9865223057644111,0.9981182957393485
cc_news,milvus-hnsw,0.99,127.7581890733022,188.87205235773382,0.6764271763792842,-32.35728236207158,0.9921583959899748,0.9981182957393485
cc_news,milvus-ivfpq,0.8,,,,,,
cc_news,milvus-ivfpq,0.9,,,,,,
cc_news,milvus-ivfpq,0.95,,,,,,
cc_news,milvus-ivfpq,0.99,,,,,,
cc_news,qdrant,0.8,9.714763814972978,9.513891770987193,1.0211135515119425,2.1113551511942497,0.9938496240601503,0.9990616541353383
cc_news,qdrant,0.9,9.714763814972978,9.513891770987193,1.0211135515119425,2.1113551511942497,0.9938496240601503,0.9990616541353383
cc_news,qdrant,0.95,9.714763814972978,9.513891770987193,1.0211135515119425,2.1113551511942497,0.9938496240601503,0.9990616541353383
cc_news,qdrant,0.99,9.714763814972978,9.513891770987193,1.0211135515119425,2.1113551511942497,0.9938496240601503,0.9990616541353383
cc_news,redis-hnsw,0.8,85.7021247888134,5.315201578454584,16.12396510721455,1512.396510721455,0.9924210526315789,0.9982636591478697
cc_news,redis-hnsw,0.9,85.7021247888134,5.315201578454584,16.12396510721455,1512.396510721455,0.9924210526315789,0.9982636591478697
cc_news,redis-hnsw,0.95,85.7021247888134,5.315201578454584,16.12396510721455,1512.396510721455,0.9924210526315789,0.9982636591478697
cc_news,redis-hnsw,0.99,85.7021247888134,5.315201578454584,16.12396510721455,1512.396510721455,0.9924210526315789,0.9982636591478697
cc_news,vearch-hnsw,0.8,32.64214164776754,26.07080243088504,1.2520574207220294,25.20574207220294,0.8009724310776942,0.8044781954887217
cc_news,vearch-hnsw,0.9,,,,,,
cc_news,vearch-hnsw,0.95,,,,,,
cc_news,vearch-hnsw,0.99,,,,,,
cc_news,vearch-ivfpq,0.8,,,,,,
cc_news,vearch-ivfpq,0.9,,,,,,
cc_news,vearch-ivfpq,0.95,,,,,,
cc_news,vearch-ivfpq,0.99,,,,,,
