dataset,algorithm,point_count,valid_point_count,expected_point_count,grid_coverage,grid_status,pareto_point_count,recall_min,recall_max,qps_min,qps_max,qps_at_r80,recall_selected_r80,query_parameters_r80,build_parameters_r80,wasted_to_useful_r80,candidates_examined_r80,qps_at_r90,recall_selected_r90,query_parameters_r90,build_parameters_r90,wasted_to_useful_r90,candidates_examined_r90,qps_at_r95,recall_selected_r95,query_parameters_r95,build_parameters_r95,wasted_to_useful_r95,candidates_examined_r95,qps_at_r99,recall_selected_r99,query_parameters_r99,build_parameters_r99,wasted_to_useful_r99,candidates_examined_r99
artificial-corr-12-original,qdrant,5,5,25,0.2,partial,1,0.9999959999999999,0.9999959999999999,4.720371700219267,4.726478775424408,4.726478775424408,0.9999959999999999,"[200,true]","[""euclidean"",{""M"":32,""efConstruction"":100}]",,,4.726478775424408,0.9999959999999999,"[200,true]","[""euclidean"",{""M"":32,""efConstruction"":100}]",,,4.726478775424408,0.9999959999999999,"[200,true]","[""euclidean"",{""M"":32,""efConstruction"":100}]",,,4.726478775424408,0.9999959999999999,"[200,true]","[""euclidean"",{""M"":32,""efConstruction"":100}]",,
artificial-corr-12-original,rangepq,1,1,1,1.0,complete,1,0.980402999999949,0.980402999999949,52.82560155305785,52.82560155305785,52.82560155305785,0.980402999999949,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0,52.82560155305785,0.980402999999949,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0,52.82560155305785,0.980402999999949,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0,,,,,,
artificial-corr-12-original,redis-hnsw,8,8,25,0.32,partial,1,0.9999969999999999,0.9999969999999999,3.5324720226207953,3.909006957527149,3.909006957527149,0.9999969999999999,[],"[""euclidean"",256,{""ef_construction"":400,""ef_runtime"":100,""m"":128}]",,,3.909006957527149,0.9999969999999999,[],"[""euclidean"",256,{""ef_construction"":400,""ef_runtime"":100,""m"":128}]",,,3.909006957527149,0.9999969999999999,[],"[""euclidean"",256,{""ef_construction"":400,""ef_runtime"":100,""m"":128}]",,,3.909006957527149,0.9999969999999999,[],"[""euclidean"",256,{""ef_construction"":400,""ef_runtime"":100,""m"":128}]",,
artificial-corr-12-original,vearch-hnsw,5,5,25,0.2,partial,5,0.38397599999999993,0.693849,10.349523489759829,12.735744340247757,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-original,vearch-ivfpq,4,4,36,0.1111111111111111,partial,4,0.28460100000000005,0.374464,12.265907061559316,12.49749859755952,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-shuffled,acorn,25,25,25,1.0,complete,13,0.8844,1.0,422.4,10336.8,10336.8,0.8844,"{""efSearch"":100}","{""M"":32,""efConstruction"":100,""gamma"":12}",,7480.495117,6108.7,0.9413,"{""efSearch"":200}","{""M"":32,""efConstruction"":100,""gamma"":12}",,7480.495117,6057.6,0.9607,"{""efSearch"":100}","{""M"":64,""efConstruction"":100,""gamma"":12}",,12693.521484,3433.9,0.9902,"{""efSearch"":100}","{""M"":128,""efConstruction"":400,""gamma"":12}",,20583.804688
artificial-corr-12-shuffled,digra,25,25,25,1.0,complete,22,0.959819,0.999996,102.792,2025.5,2025.5,0.959819,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,2025.5,0.959819,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,2025.5,0.959819,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,956.032,0.991045,"{""efSearch"":100}","{""M"":128,""efConstruction"":400}",,
artificial-corr-12-shuffled,elasticsearch-hnsw,25,25,25,1.0,complete,6,0.9905490000000001,0.9999899999999999,43.231715955169925,45.94932246815233,45.94932246815233,0.991087,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,,45.94932246815233,0.991087,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,,45.94932246815233,0.991087,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,,45.94932246815233,0.991087,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,
artificial-corr-12-shuffled,faiss-hnsw,25,25,25,1.0,complete,5,0.662566,0.9990950000000001,54.40380769539847,67.03330835500897,67.03330835500897,0.9721300000000002,[400],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",7.317156,1947.9556,67.03330835500897,0.9721300000000002,[400],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",7.317156,1947.9556,67.03330835500897,0.9721300000000002,[400],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",7.317156,1947.9556,66.35479911655369,0.9913510000000002,[1600],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",7.320271000000001,1950.9071
artificial-corr-12-shuffled,hnswlib-hnsw,25,25,25,1.0,complete,3,0.9858310000000001,0.998843,55.35735024433239,68.12956110116578,68.12956110116578,0.995431,[200],"[""euclidean"",256,{""M"":32,""efConstruction"":400}]",7.317900000000002,1948.99,68.12956110116578,0.995431,[200],"[""euclidean"",256,{""M"":32,""efConstruction"":400}]",7.317900000000002,1948.99,68.12956110116578,0.995431,[200],"[""euclidean"",256,{""M"":32,""efConstruction"":400}]",7.317900000000002,1948.99,68.12956110116578,0.995431,[200],"[""euclidean"",256,{""M"":32,""efConstruction"":400}]",7.317900000000002,1948.99
artificial-corr-12-shuffled,irangegraph,25,25,25,1.0,complete,19,0.955432,1.0,149.052,2392.35,2392.35,0.955432,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,2392.35,0.955432,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,2392.35,0.955432,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,1197.37,0.990242,"{""efSearch"":200}","{""M"":32,""efConstruction"":400}",,
artificial-corr-12-shuffled,milvus-gpu-cagra,30,30,30,1.0,complete,7,0.684358,0.998698,37.65445855596039,199.45614634954762,199.45614634954762,0.9155869999999999,"[512,2,0,0,0]","[""euclidean"",256,{""build_algo"":""NN_DESCENT"",""graph_degree"":64,""intermediate_graph_degree"":128}]",,,199.45614634954762,0.9155869999999999,"[512,2,0,0,0]","[""euclidean"",256,{""build_algo"":""NN_DESCENT"",""graph_degree"":64,""intermediate_graph_degree"":128}]",,,192.46183976927463,0.9857900000000002,"[512,2,0,0,0]","[""euclidean"",256,{""build_algo"":""NN_DESCENT"",""graph_degree"":128,""intermediate_graph_degree"":256}]",,,172.3359985290608,0.998698,"[512,2,0,0,0]","[""euclidean"",256,{""build_algo"":""NN_DESCENT"",""graph_degree"":32,""intermediate_graph_degree"":64}]",,
artificial-corr-12-shuffled,milvus-gpu-ivfpq,36,36,36,1.0,complete,4,0.30573999999999996,0.49132699999999996,182.33279774963557,219.78416374623882,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-shuffled,milvus-hnsw,25,25,25,1.0,complete,9,0.987952,0.999958,33.929154192667845,173.23360377418246,173.23360377418246,0.9932990000000002,[100],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,,173.23360377418246,0.9932990000000002,[100],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,,173.23360377418246,0.9932990000000002,[100],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,,173.23360377418246,0.9932990000000002,[100],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,
artificial-corr-12-shuffled,milvus-ivfpq,36,36,36,1.0,complete,6,0.301191,0.49911900000000003,55.26306021653245,261.0083723768183,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-shuffled,qdrant,5,5,25,0.2,partial,1,0.999992,0.999992,4.6265347168295206,4.797733289869796,4.797733289869796,0.999992,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,4.797733289869796,0.999992,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,4.797733289869796,0.999992,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,4.797733289869796,0.999992,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,
artificial-corr-12-shuffled,rangepq,1,1,1,1.0,complete,1,0.9984309999999835,0.9984309999999835,51.06981971300564,51.06981971300564,51.06981971300564,0.9984309999999835,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0,51.06981971300564,0.9984309999999835,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0,51.06981971300564,0.9984309999999835,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0,51.06981971300564,0.9984309999999835,"{""L"":60000}","{""L_eval"":60000,""L_values"":[10000,20000,40000,60000,80000],""cz"":4096,""iters"":200,""l"":1,""m"":4,""nbits"":8,""nlist"":200,""primary_dim"":0,""ratio"":15.0,""rerank_ratio"":20,""topk"":100}",,60000.0
artificial-corr-12-shuffled,redis-hnsw,2,2,25,0.08,partial,1,0.999991,0.999991,3.771272764032718,3.846637148875974,3.846637148875974,0.999991,[],"[""euclidean"",256,{""ef_construction"":100,""ef_runtime"":200,""m"":64}]",,,3.846637148875974,0.999991,[],"[""euclidean"",256,{""ef_construction"":100,""ef_runtime"":200,""m"":64}]",,,3.846637148875974,0.999991,[],"[""euclidean"",256,{""ef_construction"":100,""ef_runtime"":200,""m"":64}]",,,3.846637148875974,0.999991,[],"[""euclidean"",256,{""ef_construction"":100,""ef_runtime"":200,""m"":64}]",,
artificial-corr-12-shuffled,vearch-hnsw,5,5,25,0.2,partial,5,0.6787110000000001,0.9810060000000002,11.030920746221579,12.415045012259826,12.023261885838,0.824212,[200],"[""euclidean"",256,{""efConstruction"":100,""nlinks"":64}]",,,11.809607844842956,0.9181960000000001,[400],"[""euclidean"",256,{""efConstruction"":100,""nlinks"":64}]",,,11.73917309175702,0.963799,[800],"[""euclidean"",256,{""efConstruction"":100,""nlinks"":64}]",,,,,,,,
artificial-corr-12-shuffled,vearch-ivfpq,4,4,36,0.1111111111111111,partial,2,0.39310500000000004,0.393229,12.142671944891067,12.244548784691672,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-original,acorn,25,25,25,1.0,complete,12,0.7227,0.9668,423.3,14314.8,8327.6,0.8449,"{""efSearch"":100}","{""M"":64,""efConstruction"":100,""gamma"":12}",,4069.551514,4845.7,0.901,"{""efSearch"":200}","{""M"":64,""efConstruction"":400,""gamma"":12}",,4249.252441,2438.6,0.9589,"{""efSearch"":200}","{""M"":128,""efConstruction"":400,""gamma"":12}",,6587.477539,,,,,,
cc_news-original,digra,25,25,25,1.0,complete,9,0.976611,0.999329,111.601,1815.74,1815.74,0.976868,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,1815.74,0.976868,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,1815.74,0.976868,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,1080.14,0.990263,"{""efSearch"":200}","{""M"":32,""efConstruction"":400}",,
cc_news-original,elasticsearch-hnsw,25,25,25,1.0,complete,6,0.9849904761904763,0.9938446115288221,36.13495448342527,36.90581785971187,36.90581785971187,0.9866436090225564,[200],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,,36.90581785971187,0.9866436090225564,[200],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,,36.90581785971187,0.9866436090225564,[200],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,,36.66424894533383,0.9901754385964913,[1600],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,
cc_news-original,faiss-hnsw,25,25,25,1.0,complete,7,0.39045213032581455,0.8851528822055139,6.401548367485595,8.718871825432934,8.120361784704706,0.8166275689223058,[1600],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",156.23533731134003,18528.946165413534,,,,,,,,,,,,,,,,,,
cc_news-original,hnswlib-hnsw,8,8,25,0.32,partial,6,0.9791929824561404,0.9859508771929825,2.7233414546564374,3.2581032488714223,3.2581032488714223,0.9793192982456139,[200],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",130.79228026343364,36783.36541353384,3.2581032488714223,0.9793192982456139,[200],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",130.79228026343364,36783.36541353384,3.2581032488714223,0.9793192982456139,[200],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",130.79228026343364,36783.36541353384,,,,,,
cc_news-original,irangegraph,25,25,25,1.0,complete,13,0.97077,0.999998,214.903,3031.28,3031.28,0.97292,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,3031.28,0.97292,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,3031.28,0.97292,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,1667.45,0.992487,"{""efSearch"":200}","{""M"":32,""efConstruction"":400}",,
cc_news-original,milvus-gpu-cagra,10,10,30,0.3333333333333333,partial,4,0.39387869674185466,0.8004441102756893,179.48745024332135,227.666128844989,215.84365657372715,0.8004441102756893,"[512,2,0,0,0]","[""euclidean"",384,{""build_algo"":""NN_DESCENT"",""graph_degree"":32,""intermediate_graph_degree"":64}]",,,,,,,,,,,,,,,,,,,,
cc_news-original,milvus-gpu-ivfpq,36,36,36,1.0,complete,8,0.44697944862155387,0.5613142857142857,193.53571471611133,239.57012951454038,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-original,milvus-hnsw,10,10,25,0.4,partial,6,0.9857052631578948,0.9940601503759399,89.0227741513808,175.74576172701342,175.74576172701342,0.9865223057644111,[100],"[""euclidean"",384,{""M"":64,""efConstruction"":100}]",,,175.74576172701342,0.9865223057644111,[100],"[""euclidean"",384,{""M"":64,""efConstruction"":100}]",,,175.74576172701342,0.9865223057644111,[100],"[""euclidean"",384,{""M"":64,""efConstruction"":100}]",,,127.7581890733022,0.9921583959899748,[200],"[""euclidean"",384,{""M"":64,""efConstruction"":100}]",,
cc_news-original,milvus-ivfpq,28,28,36,0.7777777777777778,partial,6,0.4402957393483709,0.5597032581453635,101.87326796058724,270.3237114739946,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-original,qdrant,25,25,25,1.0,complete,4,0.9938496240601503,0.994089223057644,9.248177363914921,9.714763814972978,9.714763814972978,0.9938496240601503,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,9.714763814972978,0.9938496240601503,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,9.714763814972978,0.9938496240601503,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,9.714763814972978,0.9938496240601503,"[400,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,
cc_news-original,redis-hnsw,25,25,25,1.0,complete,12,0.9923298245614035,0.9941293233082708,54.34199993336701,85.7021247888134,85.7021247888134,0.9924210526315789,[],"[""euclidean"",384,{""ef_construction"":100,""ef_runtime"":100,""m"":64}]",,,85.7021247888134,0.9924210526315789,[],"[""euclidean"",384,{""ef_construction"":100,""ef_runtime"":100,""m"":64}]",,,85.7021247888134,0.9924210526315789,[],"[""euclidean"",384,{""ef_construction"":100,""ef_runtime"":100,""m"":64}]",,,85.7021247888134,0.9924210526315789,[],"[""euclidean"",384,{""ef_construction"":100,""ef_runtime"":100,""m"":64}]",,
cc_news-original,vearch-hnsw,25,25,25,1.0,complete,20,0.35025062656641603,0.8439779448621554,30.249439531514174,47.53043101263353,32.64214164776754,0.8009724310776942,[1600],"[""euclidean"",384,{""efConstruction"":400,""nlinks"":32}]",,,,,,,,,,,,,,,,,,,,
cc_news-original,vearch-ivfpq,36,36,36,1.0,complete,6,0.4062546365914787,0.5521032581453634,40.20077240737264,42.121600052369494,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-shuffled,acorn,25,25,25,1.0,complete,12,0.6537,0.9653,334.6,13671.9,7236.1,0.8138,"{""efSearch"":100}","{""M"":64,""efConstruction"":100,""gamma"":12}",,4299.882812,3588.1,0.9308,"{""efSearch"":100}","{""M"":128,""efConstruction"":400,""gamma"":12}",,7081.863281,1987.7,0.9535,"{""efSearch"":200}","{""M"":128,""efConstruction"":400,""gamma"":12}",,7081.863281,,,,,,
cc_news-shuffled,digra,25,25,25,1.0,complete,11,0.983949,0.999912,74.4252,1437.64,1437.64,0.983949,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,1437.64,0.983949,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,1437.64,0.983949,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,1025.19,0.992822,"{""efSearch"":100}","{""M"":64,""efConstruction"":100}",,
cc_news-shuffled,elasticsearch-hnsw,25,25,25,1.0,complete,3,0.9952882205513784,0.9990796992481202,36.444938678200884,37.31031269416291,37.31031269416291,0.9972190476190477,[400],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,,37.31031269416291,0.9972190476190477,[400],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,,37.31031269416291,0.9972190476190477,[400],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,,37.31031269416291,0.9972190476190477,[400],"[""euclidean"",384,{""M"":64,""efConstruction"":400}]",,
cc_news-shuffled,faiss-hnsw,25,25,25,1.0,complete,7,0.2502937343358396,0.8557704260651631,5.76569776600417,7.700487546984454,6.551902862650561,0.8144511278195489,[1600],"[""euclidean"",384,{""M"":32,""efConstruction"":400}]",203.4633940701547,25193.2335839599,,,,,,,,,,,,,,,,,,
cc_news-shuffled,hnswlib-hnsw,3,3,25,0.12,partial,1,0.982006015037594,0.982396992481203,2.819261705389016,3.017341616863061,3.017341616863061,0.982396992481203,[400],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",153.6924238073879,40868.15488721804,3.017341616863061,0.982396992481203,[400],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",153.6924238073879,40868.15488721804,3.017341616863061,0.982396992481203,[400],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",153.6924238073879,40868.15488721804,,,,,,
cc_news-shuffled,irangegraph,25,25,25,1.0,complete,21,0.968181,1.0,207.952,2619.81,2619.81,0.968181,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,2619.81,0.968181,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,2619.81,0.968181,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,1542.86,0.992547,"{""efSearch"":200}","{""M"":32,""efConstruction"":100}",,
cc_news-shuffled,milvus-gpu-cagra,5,5,30,0.16666666666666666,partial,4,0.29872581453634084,0.7370335839598997,97.29524232639433,251.25088756176194,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-shuffled,milvus-gpu-ivfpq,36,36,36,1.0,complete,4,0.388677694235589,0.5213002506265665,107.65094009419607,219.91140988956877,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-shuffled,milvus-hnsw,25,25,25,1.0,complete,8,0.996668671679198,0.999020551378446,77.77049487080114,188.87205235773382,188.87205235773382,0.9981182957393485,[100],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",,,188.87205235773382,0.9981182957393485,[100],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",,,188.87205235773382,0.9981182957393485,[100],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",,,188.87205235773382,0.9981182957393485,[100],"[""euclidean"",384,{""M"":32,""efConstruction"":100}]",,
cc_news-shuffled,milvus-ivfpq,36,36,36,1.0,complete,8,0.38772832080200503,0.5236190476190478,92.51535671567741,260.7087576046901,,,,,,,,,,,,,,,,,,,,,,,,
cc_news-shuffled,qdrant,25,25,25,1.0,complete,2,0.9990375939849624,0.9990786967418546,8.588829417807545,9.513891770987193,9.513891770987193,0.9990616541353383,"[800,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,9.513891770987193,0.9990616541353383,"[800,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,9.513891770987193,0.9990616541353383,"[800,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,,9.513891770987193,0.9990616541353383,"[800,true]","[""euclidean"",{""M"":128,""efConstruction"":400}]",,
cc_news-shuffled,redis-hnsw,1,1,25,0.04,partial,1,0.9982636591478697,0.9982636591478697,5.315201578454584,5.315201578454584,5.315201578454584,0.9982636591478697,[],"[""euclidean"",384,{""ef_construction"":400,""ef_runtime"":100,""m"":64}]",,,5.315201578454584,0.9982636591478697,[],"[""euclidean"",384,{""ef_construction"":400,""ef_runtime"":100,""m"":64}]",,,5.315201578454584,0.9982636591478697,[],"[""euclidean"",384,{""ef_construction"":400,""ef_runtime"":100,""m"":64}]",,,5.315201578454584,0.9982636591478697,[],"[""euclidean"",384,{""ef_construction"":400,""ef_runtime"":100,""m"":64}]",,
cc_news-shuffled,vearch-hnsw,25,25,25,1.0,complete,20,0.210674686716792,0.8044781954887217,26.07080243088504,42.785868314809804,26.07080243088504,0.8044781954887217,[1600],"[""euclidean"",384,{""efConstruction"":400,""nlinks"":128}]",,,,,,,,,,,,,,,,,,,,
cc_news-shuffled,vearch-ivfpq,36,36,36,1.0,complete,8,0.3632020050125313,0.5104441102756893,34.13437493148985,36.895068533789896,,,,,,,,,,,,,,,,,,,,,,,,
