dataset,algorithm,unique_build_config_count,build_time_median_s,build_time_min_s,build_time_max_s,insert_time_median_s,index_time_median_s,index_size_median_mb,positive_index_size_config_count,index_size_sources
artificial-corr-12-shuffled,redis-hnsw,2,1228.6387108564377,559.3212976455688,1897.9561240673065,1224.6207674741745,4.017943382263184,0.51171875,1,index_size_raw_kb;missing_or_nonpositive
artificial-corr-12-shuffled,vearch-hnsw,1,464.2221245765686,464.2221245765686,464.2221245765686,451.1701183319092,13.052006244659424,0.67578125,1,index_size_raw_kb
artificial-corr-12-shuffled,vearch-ivfpq,1,449.3989214897156,449.3989214897156,449.3989214897156,436.34075927734375,13.058162212371826,2.06640625,1,index_size_raw_kb
cc_news-original,acorn,5,332.037752,107.939358,563.809901,,332.037752,1326.2863063812256,5,native_serialized_bytes
cc_news-original,digra,5,6341.14,1982.85,9672.01,,6341.14,,0,missing
cc_news-original,elasticsearch-hnsw,5,574.9263446331024,471.9534013271332,589.6038038730621,562.8762707710266,12.050073862075806,362.2890625,2,index_size_raw_kb;missing_or_nonpositive
cc_news-original,faiss-hnsw,5,100.27503108978271,32.526772022247314,262.302294254303,11.050976514816284,89.22298240661621,1221.7012882232666,5,index_file_bytes
cc_news-original,hnswlib-hnsw,2,52.87976551055908,25.134095668792725,80.62543535232544,5.027160882949829,47.85260462760925,1148.414228439331,2,index_file_bytes
cc_news-original,irangegraph,5,1378.91,402.016,1875.23,,1378.91,1036.9832649230957,5,native_serialized_bytes
cc_news-original,milvus-gpu-cagra,2,149.24560976028442,143.94849157333374,154.5427279472351,75.2212061882019,74.02440357208252,631.517578125,2,index_size_raw_kb
cc_news-original,milvus-gpu-ivfpq,9,99.43454098701477,97.54037261009216,100.8648579120636,76.23245215415955,23.386852264404297,321.703125,9,index_size_raw_kb
cc_news-original,milvus-hnsw,2,244.36176872253418,111.06517553329468,377.6583619117737,73.48467135429382,170.87709736824036,2220.337890625,2,index_size_raw_kb
cc_news-original,milvus-ivfpq,7,102.57081484794617,96.7635908126831,114.0243468284607,75.62681865692139,26.94399619102478,381.53125,7,index_size_raw_kb
cc_news-original,qdrant,5,317.60230827331543,316.8365263938904,317.80298709869385,307.5551128387451,10.044754981994629,1123.8671875,5,index_size_raw_kb
cc_news-original,redis-hnsw,25,931.5884990692139,271.88689041137695,1780.3452792167664,923.5589895248413,8.03078007698059,0.419921875,12,index_size_raw_kb;missing_or_nonpositive
cc_news-original,vearch-hnsw,5,406.7664098739624,402.7570915222168,410.20756363868713,393.71330976486206,13.053100109100342,1.01953125,3,index_size_raw_kb;missing_or_nonpositive
cc_news-original,vearch-ivfpq,9,399.802059173584,397.16381216049194,404.4454526901245,386.74849009513855,13.052293062210083,0.71875,7,index_size_raw_kb;missing_or_nonpositive
cc_news-shuffled,acorn,5,236.707036,79.659219,502.023737,,236.707036,1326.2863063812256,5,native_serialized_bytes
cc_news-shuffled,digra,5,7434.77,2249.52,12625.7,,7434.77,,0,missing
cc_news-shuffled,elasticsearch-hnsw,5,569.080733537674,466.3422920703888,583.1256680488586,557.0345509052277,12.046182632446289,371.23046875,3,index_size_raw_kb;missing_or_nonpositive
cc_news-shuffled,faiss-hnsw,5,96.25515842437744,41.84598994255066,222.15069699287415,11.050264358520508,85.20890235900879,1221.7012882232666,5,index_file_bytes
cc_news-shuffled,hnswlib-hnsw,1,28.600325345993042,28.600325345993042,28.600325345993042,7.036457777023315,21.563867568969727,1072.6865730285645,1,index_file_bytes
cc_news-shuffled,irangegraph,5,1463.7,437.728,2112.3,,1463.7,1073.2968444824219,5,native_serialized_bytes
cc_news-shuffled,milvus-gpu-cagra,1,168.70651626586914,168.70651626586914,168.70651626586914,74.43197417259216,94.27454209327698,389.7890625,1,index_size_raw_kb
cc_news-shuffled,milvus-gpu-ivfpq,9,100.48989200592041,98.19111680984497,101.52325367927551,76.8461332321167,23.471771478652954,355.4375,9,index_size_raw_kb
cc_news-shuffled,milvus-hnsw,5,151.6393609046936,103.29988956451416,364.2678074836731,76.83376884460449,65.3629846572876,1524.92578125,5,index_size_raw_kb
cc_news-shuffled,milvus-ivfpq,9,104.61248707771301,97.52151346206665,121.98323512077332,76.93028974533081,27.77277159690857,361.21875,9,index_size_raw_kb
cc_news-shuffled,qdrant,5,341.22080850601196,337.86980056762695,361.7854311466217,331.1792314052582,12.052734136581421,1126.59765625,5,index_size_raw_kb
cc_news-shuffled,redis-hnsw,1,1242.515950679779,1242.515950679779,1242.515950679779,1230.4670977592468,12.048852920532227,0.3515625,1,index_size_raw_kb
cc_news-shuffled,vearch-hnsw,5,404.5299940109253,399.5684220790863,411.16155767440796,391.4749116897583,13.052249908447266,2.29296875,2,index_size_raw_kb;missing_or_nonpositive
cc_news-shuffled,vearch-ivfpq,9,397.68281292915344,395.4336292743683,399.22287106513977,384.6313076019287,13.05331540107727,1.94140625,7,index_size_raw_kb;missing_or_nonpositive
